# Asset: AUDNZD_otc
# Updated: 2026-03-22T00:24:10.112866
# Format: timestamp,price
1774156380.0,1.1689
1774156380.0,1.16918
1774156380.0,1.16918
1774156380.0,1.16913
1774156380.0,1.16913
1774156380.0,1.16924
1774156380.0,1.16929
1774156380.0,1.16929
1774156380.0,1.16939
1774156380.0,1.16935
1774156380.0,1.16912
1774156380.0,1.16912
1774156380.0,1.1692
1774156380.0,1.16925
1774156380.0,1.16925
1774156380.0,1.16924
1774156380.0,1.16919
1774156380.0,1.16919
1774156380.0,1.16919
1774156380.0,1.16886
1774156380.0,1.16882
1774156380.0,1.16882
1774156380.0,1.16882
1774156380.0,1.16901
1774156380.0,1.1689
1774156380.0,1.1689
1774156380.0,1.1689
1774156380.0,1.16878
1774156380.0,1.16878
1774156380.0,1.16872
1774156380.0,1.16868
1774156380.0,1.16844
1774156380.0,1.16844
1774156380.0,1.1684
1774156380.0,1.16835
1774156380.0,1.16835
1774156380.0,1.16835
1774156380.0,1.16828
1774156380.0,1.16823
1774156380.0,1.16823
1774156380.0,1.16838
1774156380.0,1.16817
1774156380.0,1.16817
1774156380.0,1.16802
1774156380.0,1.16797
1774156380.0,1.16797
1774156380.0,1.16797
1774156380.0,1.16804
1774156380.0,1.16814
1774156380.0,1.16814
1774156380.0,1.16804
1774156440.0,1.16808
1774156440.0,1.16808
1774156440.0,1.16808
1774156440.0,1.16813
1774156440.0,1.16827
1774156440.0,1.16827
1774156440.0,1.16822
1774156440.0,1.16818
1774156440.0,1.16809
1774156440.0,1.16809
1774156440.0,1.16828
1774156440.0,1.16832
1774156440.0,1.16832
1774156440.0,1.16811
1774156440.0,1.16807
1774156440.0,1.16807
1774156440.0,1.16807
1774156440.0,1.16801
1774156440.0,1.16814
1774156440.0,1.16814
1774156440.0,1.16809
1774156440.0,1.16802
1774156440.0,1.16805
1774156440.0,1.16805
1774156440.0,1.16789
1774156440.0,1.16797
1774156440.0,1.16797
1774156440.0,1.16799
1774156440.0,1.16808
1774156440.0,1.16813
1774156440.0,1.16813
1774156440.0,1.16818
1774156440.0,1.16813
1774156440.0,1.16813
1774156440.0,1.16807
1774156440.0,1.16803
1774156440.0,1.16796
1774156440.0,1.16796
1774156440.0,1.16792
1774156440.0,1.16786
1774156440.0,1.16786
1774156440.0,1.16773
1774156440.0,1.16769
1774156440.0,1.16762
1774156440.0,1.16762
1774156440.0,1.16758
1774156440.0,1.16753
1774156440.0,1.16753
1774156440.0,1.16732
1774156440.0,1.16725
1774156440.0,1.16735
1774156440.0,1.16735
1774156440.0,1.16725
1774156440.0,1.16732
1774156440.0,1.16732
1774156440.0,1.1672
1774156440.0,1.16699
1774156440.0,1.16695
1774156440.0,1.16701
1774156440.0,1.16695
1774156440.0,1.1669
1774156440.0,1.16684
1774156440.0,1.1669
1774156440.0,1.16694
1774156440.0,1.16688
1774156440.0,1.16682
1774156440.0,1.16689
1774156440.0,1.16689
1774156440.0,1.16708
1774156440.0,1.16702
1774156440.0,1.16713
1774156440.0,1.16718
1774156440.0,1.16723
1774156440.0,1.16723
1774156440.0,1.16719
1774156440.0,1.16708
1774156440.0,1.16713
1774156440.0,1.16703
1774156440.0,1.16698
1774156440.0,1.16698
1774156440.0,1.16702
1774156440.0,1.16691
1774156440.0,1.16678
1774156440.0,1.16673
1774156440.0,1.16683
1774156440.0,1.16683
1774156440.0,1.16636
1774156440.0,1.1664
1774156440.0,1.16644
1774156440.0,1.16638
1774156440.0,1.16644
1774156440.0,1.16644
1774156440.0,1.16656
1774156440.0,1.16662
1774156440.0,1.16667
1774156440.0,1.16667
1774156440.0,1.16664
1774156440.0,1.16664
1774156440.0,1.16686
1774156440.0,1.16694
1774156440.0,1.16701
1774156440.0,1.16701
1774156440.0,1.16706
1774156440.0,1.16706
1774156440.0,1.16709
1774156440.0,1.1672
1774156440.0,1.16733
1774156440.0,1.16738
1774156440.0,1.16744
1774156440.0,1.16744
1774156440.0,1.16755
1774156440.0,1.16769
1774156440.0,1.16773
1774156440.0,1.16765
1774156440.0,1.16757
1774156440.0,1.16757
1774156440.0,1.16749
1774156440.0,1.16745
1774156440.0,1.16741
1774156440.0,1.1675
1774156440.0,1.1675
1774156440.0,1.1675
1774156440.0,1.16724
1774156440.0,1.16729
1774156440.0,1.16736
1774156440.0,1.16745
1774156440.0,1.16745
1774156500.0,1.16745
1774156500.0,1.16753
1774156500.0,1.16753
1774156500.0,1.16759
1774156500.0,1.16737
1774156500.0,1.16753
1774156500.0,1.16753
1774156500.0,1.16751
1774156500.0,1.16727
1774156500.0,1.16721
1774156500.0,1.16714
1774156500.0,1.16722
1774156500.0,1.16722
1774156500.0,1.16712
1774156500.0,1.16734
1774156500.0,1.16725
1774156500.0,1.16737
1774156500.0,1.16737
1774156500.0,1.16737
1774156500.0,1.16742
1774156500.0,1.16747
1774156500.0,1.16747
1774156500.0,1.16755
1774156500.0,1.1676
1774156500.0,1.1676
1774156500.0,1.16758
1774156500.0,1.16752
1774156500.0,1.16742
1774156500.0,1.16738
1774156500.0,1.16735
1774156500.0,1.16735
1774156500.0,1.16733
1774156500.0,1.16738
1774156500.0,1.16738
1774156500.0,1.16738
1774156500.0,1.16733
1774156500.0,1.16733
1774156500.0,1.16735
1774156500.0,1.16741
1774156500.0,1.16746
1774156500.0,1.16738
1774156500.0,1.16731
1774156500.0,1.16731
1774156500.0,1.16725
