2026-03-22 00:16:43 | INFO     | indicator_manager    | [Scalping5s] AUDCHF_otc | NEUTRAL | Conf: 0.47 | Indicadores: {'RSI': 'sell', 'EMA_Cross': 'buy_weak', 'Momentum': 'buy_weak', 'Stochastic': 'sell', 'BB': 'sell', 'MACD': 'neutral'}
2026-03-22 00:16:43 | INFO     | indicator_manager    | [Scalping5s] AUDNZD_otc | NEUTRAL | Conf: 0.38 | Indicadores: {'RSI': 'buy', 'EMA_Cross': 'sell_weak', 'Momentum': 'sell_weak', 'Stochastic': 'neutral', 'BB': 'buy', 'MACD': 'neutral'}
2026-03-22 00:16:43 | INFO     | indicator_manager    | [Scalping5s] AUDUSD_otc | NEUTRAL | Conf: 0.23 | Indicadores: {'RSI': 'buy', 'EMA_Cross': 'sell_weak', 'Momentum': 'neutral', 'Stochastic': 'sell', 'BB': 'neutral', 'MACD': 'neutral'}
2026-03-22 00:16:44 | INFO     | indicator_manager    | [STATUS] Indicadores registrados: 7 | Usuários configurados: 0 | Disponíveis: ['sma', 'ema', 'rsi', 'macd', 'bb', 'atr', 'stochastic']
2026-03-22 00:16:48 | INFO     | indicator_manager    | [Scalping5s] #AAPL_otc | NEUTRAL | Conf: 0.28 | Indicadores: {'RSI': 'sell_weak', 'EMA_Cross': 'sell', 'Momentum': 'buy_weak', 'Stochastic': 'neutral', 'BB': 'neutral', 'MACD': 'neutral'}
2026-03-22 00:16:48 | INFO     | indicator_manager    | [Scalping5s] #FB_otc | NEUTRAL | Conf: 0.38 | Indicadores: {'RSI': 'buy', 'EMA_Cross': 'sell_weak', 'Momentum': 'sell_weak', 'Stochastic': 'buy', 'BB': 'buy_weak', 'MACD': 'neutral'}
2026-03-22 00:16:48 | INFO     | indicator_manager    | [Scalping5s] #INTC_otc | NEUTRAL | Conf: 0.24 | Indicadores: {'RSI': 'buy', 'EMA_Cross': 'sell_weak', 'Momentum': 'buy_weak', 'Stochastic': 'neutral', 'BB': 'neutral', 'MACD': 'neutral'}
2026-03-22 00:16:48 | INFO     | indicator_manager    | [Scalping5s] #JNJ_otc | NEUTRAL | Conf: 0.18 | Indicadores: {'RSI': 'buy', 'EMA_Cross': 'sell_weak', 'Momentum': 'sell_weak', 'Stochastic': 'neutral', 'BB': 'neutral', 'MACD': 'neutral'}
2026-03-22 00:16:48 | INFO     | indicator_manager    | [Scalping5s] #PFE_otc | NEUTRAL | Conf: 0.10 | Indicadores: {'RSI': 'neutral', 'EMA_Cross': 'sell_weak', 'Momentum': 'buy_weak', 'Stochastic': 'neutral', 'BB': 'neutral', 'MACD': 'neutral'}
2026-03-22 00:16:48 | INFO     | indicator_manager    | [Scalping5s] AEDCNY_otc | NEUTRAL | Conf: 0.38 | Indicadores: {'RSI': 'neutral', 'EMA_Cross': 'buy_weak', 'Momentum': 'sell', 'Stochastic': 'neutral', 'BB': 'neutral', 'MACD': 'sell'}
