2026-03-22 00:16:38 | INFO     | trade_executor       | [STATE] Estado carregado do banco para 94736c7d-e00e-4df7-826b-cfeb4699f225: mart=0 soros=0 reduce=True amount=0.5
2026-03-22 00:16:38 | WARNING  | trade_executor       | [STATE] stop_triggered=True carregado do banco para 94736c7d-e00e-4df7-826b-cfeb4699f225 — executando parada completa
2026-03-22 00:16:38 | WARNING  | trade_executor       | [STOP] 94736c7d-e00e-4df7-826b-cfeb4699f225: executando parada completa (stop='gain')
2026-03-22 00:16:38 | DEBUG    | trade_executor       | [CONFIG] Config fresca do banco para 94736c7d-e00e-4df7-826b-cfeb4699f225: mart=False soros=False reduce=False amount=1.00
2026-03-22 00:16:38 | DEBUG    | trade_executor       | [CONFIG] Config recarregada do banco para 94736c7d-e00e-4df7-826b-cfeb4699f225: mart=False soros=False
2026-03-22 00:16:38 | INFO     | trade_executor       | [TRADE] 94736c7d-e00e-4df7-826b-cfeb4699f225: stop 'gain' ativo — executando parada completa
2026-03-22 00:16:38 | INFO     | trade_executor       | [TRADE EXECUTOR] Total de trades executados: 0
2026-03-22 00:16:38 | WARNING  | trade_executor       | [STOP] 94736c7d-e00e-4df7-826b-cfeb4699f225: executando parada completa (stop='gain')
2026-03-22 00:16:38 | INFO     | trade_executor       | [STOP] autotrade=0 salvo no banco para 94736c7d-e00e-4df7-826b-cfeb4699f225
2026-03-22 00:16:38 | DEBUG    | trade_executor       | [TradeExecutor] Usuário 94736c7d-e00e-4df7-826b-cfeb4699f225 removido
2026-03-22 00:16:38 | INFO     | trade_executor       | [STOP] autotrade=0 salvo no banco para 94736c7d-e00e-4df7-826b-cfeb4699f225
2026-03-22 00:27:28 | INFO     | trade_executor       | Parando TradeExecutor...
2026-03-22 00:27:28 | INFO     | trade_executor       | TradeExecutor parado
