2026-03-22 00:16:27 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:27 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:27 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:27 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:27 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:27 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:27 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:27 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:27 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:27 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:32 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:34 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:34 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:34 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:37 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:37 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:37 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:37 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:37 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:37 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:37 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:37 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:37 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:37 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:37 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:37 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:37 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:37 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:37 | DEBUG    | database             | [DB] Sessão devolvida ao pool
2026-03-22 00:16:38 | DEBUG    | database             | [DB] Sessão aberta do pool
2026-03-22 00:16:38 | DEBUG    | database             | [DB] Sessão commitada
2026-03-22 00:16:38 | DEBUG    | database             | [DB] Sessão devolvida ao pool
